,X,Y,Diff,Target
376,0.73276967,0.78500915,0.83471483,1
377,0.6894862,0.7282237,0.5061369,0
378,0.71657413,0.7666834,0.48446685,0
379,0.7025748,0.7464433,0.49029577,0
380,0.7432492,0.7945512,0.27236873,0
381,0.6979638,0.7426181,0.51272726,0
382,0.7749027,0.83132297,0.6249705,0
383,0.7682494,0.8217135,0.5042127,0
384,0.72742283,0.77321786,0.35792327,0
385,0.7150209,0.7618097,0.31108677,0
386,0.758832,0.8126384,0.28966275,0
387,0.690122,0.73016375,0.35999006,0
388,0.73532695,0.78474855,0.35459587,0
389,0.70422846,0.7504906,0.4870066,1
390,0.7255405,0.773343,0.31723222,0
391,0.7291953,0.7803506,0.37511382,0
392,0.70837426,0.75164336,0.28030473,0
393,0.72905946,0.7751921,0.36645716,0
394,0.73894,0.7884805,0.48555958,0
395,0.7427628,0.7916869,0.3192671,0
396,0.7598468,0.8132258,0.2750582,0
397,0.7174171,0.7639545,0.38333488,0
398,0.731382,0.7814237,0.43076622,0
399,0.676769,0.7111576,0.68187386,0
400,0.78284234,0.8380286,0.444934,0
401,0.7312994,0.7799009,0.46137562,0
402,0.6982249,0.74172604,0.43772963,0
403,0.6905801,0.7346905,0.7672194,0
404,0.69242847,0.7341568,0.5605667,0
405,0.7011374,0.7465214,0.42956766,0
406,0.7536053,0.80626637,0.3737871,0
407,0.7193185,0.76588273,0.3406336,0
408,0.7260492,0.77273583,0.4328551,0
409,0.74671566,0.7973584,0.33261544,0
410,0.68848985,0.73204684,0.696994,1
411,0.6990919,0.7432535,0.72717345,1
412,0.7174227,0.7641857,0.34547463,0
413,0.7282396,0.7792024,0.34965578,0
414,0.7059965,0.75152403,0.3066172,0
415,0.69323754,0.7355113,0.38903806,0
416,0.687107,0.7261242,0.28876892,0
417,0.6858316,0.7246175,0.28501958,0
418,0.7202726,0.76756513,0.28323066,0
419,0.7424564,0.791556,0.3571553,0
420,0.6992582,0.74115944,0.3836096,0
421,0.68758065,0.7261209,0.46545237,0
422,0.7679958,0.82205087,0.5489032,0
423,0.7342818,0.7847672,0.429915,0
424,0.69025004,0.73210114,0.38027683,0
425,0.76668364,0.82077926,0.38017315,0
426,0.713196,0.7573761,0.33665183,0
427,0.7194488,0.76830953,0.36998388,0
428,0.7644058,0.8190888,0.42889538,0
429,0.74918616,0.8009603,0.35536543,0
430,0.7040383,0.74753356,0.42591354,0
431,0.7247295,0.77138025,0.35025233,0
432,0.72434306,0.77162594,0.4691825,1
433,0.7170389,0.76590025,0.36577246,0
